cruise,station,date,lat,lon,taxon,taxa_id_number,abundance_per_transect,abundance
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Amphipoda (Unidentified),626,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Labidocera acutifrons,961,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Salpidae (Total),977,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Doliolidae,978,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Alteutha spp.,985,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Metridia spp. (V-VI) (unidentified),1677,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Siphonostomatoida,10066,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Monstrilloida,10069,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Thalia democratica,10564,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Calanus V-VI unidentified,10566,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Decapod megalopa,10568,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Decapod megalopa,10568,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Decapod zoea,10569,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Decapod zoea,10569,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Fish eggs with oil globules,10572,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Fish eggs with oil globules,10572,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Fish eggs without oil globules,10573,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Fish eggs without oil globules,10573,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Paraeuchaeta norvegica,10605,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Paraeuchaeta norvegica,10605,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Euchaetidae (unidentified),10606,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Euchaetidae (unidentified),10606,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Parathalestris croni,10610,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Plastic Total (trial),10714,3,100.43215958268428
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Anomalocera opalus,10741,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Neocalanus gracilis,45,NA,NA
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Rhincalanus nasutus,50,NA,NA
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Euchirella rostrata,51,NA,NA
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Pleuromamma abdominalis,58,NA,NA
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Gammaridea,81,NA,NA
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Centropages bradyi,380,NA,NA
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Euchaeta marina,393,NA,NA
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Paedoclione doliiformis,448,NA,NA
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Gymnosomata (Unidentified),480,NA,NA
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Calanus finmarchicus,40,2,66.95477305512286
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Calanus glacialis,42,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Calanus hyperboreus,44,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Nannocalanus minor,47,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Metridia lucens,55,1,33.47738652756143
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Metridia longa,56,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Pleuromamma borealis,59,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Candacia armata,61,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Tomopteris spp.,80,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Hyperiidea (Total),82,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Decapoda larvae (Total),83,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Clione limacina,84,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Euphausiacea Total,88,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Chaetognatha eyecount,89,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Fish eggs (Total),90,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Fish larvae,91,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Scolecithrix danae,416,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Candacia spp. (Unidentified),429,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Pleuromamma spp. (Unidentified),434,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Polychaete larvae (unidentified),450,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Cumacea,454,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Lepas nauplii,457,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Ostracoda,459,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Amphipoda (Unidentified),626,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Labidocera acutifrons,961,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Salpidae (Total),977,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Doliolidae,978,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Alteutha spp.,985,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Metridia spp. (V-VI) (unidentified),1677,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Siphonostomatoida,10066,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Monstrilloida,10069,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Thalia democratica,10564,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Calanus V-VI unidentified,10566,6,200.86431916536856
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Decapod megalopa,10568,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Decapod megalopa,10568,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Decapod zoea,10569,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Decapod zoea,10569,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Fish eggs with oil globules,10572,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Fish eggs with oil globules,10572,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Fish eggs without oil globules,10573,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Fish eggs without oil globules,10573,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Paraeuchaeta norvegica,10605,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Paraeuchaeta norvegica,10605,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Euchaetidae (unidentified),10606,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Euchaetidae (unidentified),10606,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Parathalestris croni,10610,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Plastic Total (trial),10714,2,66.95477305512286
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Anomalocera opalus,10741,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Neocalanus gracilis,45,NA,NA
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Rhincalanus nasutus,50,NA,NA
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Euchirella rostrata,51,NA,NA
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Pleuromamma abdominalis,58,NA,NA
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Gammaridea,81,NA,NA
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Centropages bradyi,380,NA,NA
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Euchaeta marina,393,NA,NA
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Paedoclione doliiformis,448,NA,NA
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,Gymnosomata (Unidentified),480,NA,NA
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Calanus finmarchicus,40,3,100.43215958268428
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Calanus glacialis,42,1,33.47738652756143
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Calanus hyperboreus,44,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Nannocalanus minor,47,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Metridia lucens,55,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Metridia longa,56,1,33.47738652756143
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Pleuromamma borealis,59,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Candacia armata,61,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Tomopteris spp.,80,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Hyperiidea (Total),82,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Decapoda larvae (Total),83,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Clione limacina,84,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Euphausiacea Total,88,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Chaetognatha eyecount,89,6,200.86431916536856
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Fish eggs (Total),90,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Fish larvae,91,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Scolecithrix danae,416,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Candacia spp. (Unidentified),429,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Pleuromamma spp. (Unidentified),434,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Polychaete larvae (unidentified),450,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Cumacea,454,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Lepas nauplii,457,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Ostracoda,459,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Amphipoda (Unidentified),626,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Labidocera acutifrons,961,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Salpidae (Total),977,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Doliolidae,978,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Alteutha spp.,985,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Metridia spp. (V-VI) (unidentified),1677,1,33.47738652756143
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Siphonostomatoida,10066,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Monstrilloida,10069,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Thalia democratica,10564,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Calanus V-VI unidentified,10566,3,100.43215958268428
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Decapod megalopa,10568,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Decapod megalopa,10568,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Decapod zoea,10569,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Decapod zoea,10569,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Fish eggs with oil globules,10572,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Fish eggs with oil globules,10572,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Fish eggs without oil globules,10573,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Fish eggs without oil globules,10573,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Paraeuchaeta norvegica,10605,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Paraeuchaeta norvegica,10605,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Euchaetidae (unidentified),10606,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Euchaetidae (unidentified),10606,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Parathalestris croni,10610,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Plastic Total (trial),10714,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Anomalocera opalus,10741,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Neocalanus gracilis,45,NA,NA
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Rhincalanus nasutus,50,NA,NA
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Euchirella rostrata,51,NA,NA
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Pleuromamma abdominalis,58,NA,NA
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Gammaridea,81,NA,NA
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Centropages bradyi,380,NA,NA
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Euchaeta marina,393,NA,NA
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Paedoclione doliiformis,448,NA,NA
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,Gymnosomata (Unidentified),480,NA,NA
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Calanus finmarchicus,40,6,200.86431916536856
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Calanus glacialis,42,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Calanus hyperboreus,44,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Nannocalanus minor,47,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Metridia lucens,55,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Metridia longa,56,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Pleuromamma borealis,59,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Candacia armata,61,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Tomopteris spp.,80,1,33.47738652756143
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Hyperiidea (Total),82,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Decapoda larvae (Total),83,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Clione limacina,84,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Euphausiacea Total,88,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Chaetognatha eyecount,89,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Fish eggs (Total),90,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Fish larvae,91,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Scolecithrix danae,416,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Candacia spp. (Unidentified),429,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Pleuromamma spp. (Unidentified),434,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Polychaete larvae (unidentified),450,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Cumacea,454,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Lepas nauplii,457,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Ostracoda,459,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Amphipoda (Unidentified),626,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Labidocera acutifrons,961,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Salpidae (Total),977,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Doliolidae,978,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Alteutha spp.,985,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Metridia spp. (V-VI) (unidentified),1677,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Siphonostomatoida,10066,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Monstrilloida,10069,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Thalia democratica,10564,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Calanus V-VI unidentified,10566,1,33.47738652756143
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Decapod megalopa,10568,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Decapod megalopa,10568,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Decapod zoea,10569,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Decapod zoea,10569,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Fish eggs with oil globules,10572,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Fish eggs with oil globules,10572,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Fish eggs without oil globules,10573,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Fish eggs without oil globules,10573,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Paraeuchaeta norvegica,10605,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Paraeuchaeta norvegica,10605,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Euchaetidae (unidentified),10606,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Euchaetidae (unidentified),10606,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Parathalestris croni,10610,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Plastic Total (trial),10714,1,33.47738652756143
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Anomalocera opalus,10741,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Neocalanus gracilis,45,NA,NA
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Rhincalanus nasutus,50,NA,NA
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Euchirella rostrata,51,NA,NA
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Pleuromamma abdominalis,58,NA,NA
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Gammaridea,81,NA,NA
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Centropages bradyi,380,NA,NA
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Euchaeta marina,393,NA,NA
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Paedoclione doliiformis,448,NA,NA
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,Gymnosomata (Unidentified),480,NA,NA
445MC,11,2014-02-25T18:24:00Z,43.413,-68.055,Calanus finmarchicus,40,6,200.86431916536856
445MC,11,2014-02-25T18:24:00Z,43.413,-68.055,Calanus glacialis,42,1,33.47738652756143
445MC,11,2014-02-25T18:24:00Z,43.413,-68.055,Calanus hyperboreus,44,0,0
445MC,11,2014-02-25T18:24:00Z,43.413,-68.055,Nannocalanus minor,47,0,0
445MC,11,2014-02-25T18:24:00Z,43.413,-68.055,Metridia lucens,55,0,0
445MC,11,2014-02-25T18:24:00Z,43.413,-68.055,Metridia longa,56,0,0
445MC,11,2014-02-25T18:24:00Z,43.413,-68.055,Pleuromamma borealis,59,0,0
