cruise,station,date,lat,lon,pci,taxon,taxa_id_number,abundance_per_transect,abundance
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Stephanopyxis spp.,190,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Coccolithaceae (Total),195,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Pterosperma spp. (Total),196,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Silicoflagellates,198,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Nitzschia spp. (Unidentified),199,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Ceratium pentagonum,240,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Dinophysis spp. Total,251,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Gonyaulax spp.,253,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Protoperidinium spp.,255,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Pinus pollen,812,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Stellate body (Land plant hair),814,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Coscinodiscus wailesii,976,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Proboscia alata,1000,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Dinophysis acuta,1602,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Hyalochaete resting spore,1612,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Scrippsiella cysts,10505,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Acanthoica quattrospina,10508,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Emiliania huxleyi type,10510,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Emiliania huxleyi type,10510,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Rhabdosphaera clavigera,10511,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Syracosphaera pulchra,10512,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Coccolithus pelagicus,10513,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Coccolithus pelagicus,10513,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Licmophora spp.,10527,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Asterionellopsis glacialis,10615,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Prorocentrum spp. ('Exuviaella' type),10620,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Pseudo-nitzschia delicatissima complex,10623,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Pseudo-nitzschia seriata complex,10624,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Corethron hystrix,10681,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Rhizosolenia imbricata,10684,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Delphineis surirella,10712,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Coscinodiscus concinnus,165,NA,NA
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Leptocylindrus danicus,175,NA,NA
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Rhizosolenia setigera,187,NA,NA
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Ceratium bucephalum,224,NA,NA
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Prorocentrum spp. Total,259,NA,NA
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Actiniscus pentasterias,980,NA,NA
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Leptocylindrus mediterraneus,1001,NA,NA
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Grammatophora spp.,1624,NA,NA
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Prorocentrum micans,1679,NA,NA
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Braarudosphaera bigelowii,10509,NA,NA
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Paralia sulcata,101,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Skeletonema costatum,102,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Thalassiosira spp.,103,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Rhizosolenia hebetata semispina,108,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Chaetoceros(Hyalochaete) spp.,112,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Chaetoceros(Phaeoceros) spp.,113,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Odontella sinensis,114,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Thalassiothrix longissima,116,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Thalassionema nitzschioides,117,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Ceratium fusus,121,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Ceratium furca,122,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Ceratium lineatum,123,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Ceratium tripos,124,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Ceratium macroceros,125,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Ceratium horridum,126,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Ceratium longipes,127,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Ceratium arcticum,128,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Dinoflagellate cysts (Total),130,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Bacteriastrum spp.,154,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Bellerochea malleus,155,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Odontella aurita,157,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Coscinodiscus spp. (Unidentified),166,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Ditylum brightwellii,168,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Eucampia zodiacus,169,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Fragilaria spp.,170,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Navicula spp.,176,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Cylindrotheca closterium,177,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Stephanopyxis spp.,190,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Coccolithaceae (Total),195,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Pterosperma spp. (Total),196,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Silicoflagellates,198,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Nitzschia spp. (Unidentified),199,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Ceratium pentagonum,240,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Dinophysis spp. Total,251,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Gonyaulax spp.,253,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Protoperidinium spp.,255,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Pinus pollen,812,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Stellate body (Land plant hair),814,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Coscinodiscus wailesii,976,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Proboscia alata,1000,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Dinophysis acuta,1602,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Hyalochaete resting spore,1612,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Scrippsiella cysts,10505,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Acanthoica quattrospina,10508,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Emiliania huxleyi type,10510,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Emiliania huxleyi type,10510,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Rhabdosphaera clavigera,10511,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Syracosphaera pulchra,10512,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Coccolithus pelagicus,10513,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Coccolithus pelagicus,10513,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Licmophora spp.,10527,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Asterionellopsis glacialis,10615,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Prorocentrum spp. ('Exuviaella' type),10620,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Pseudo-nitzschia delicatissima complex,10623,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Pseudo-nitzschia seriata complex,10624,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Corethron hystrix,10681,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Rhizosolenia imbricata,10684,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Delphineis surirella,10712,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Coscinodiscus concinnus,165,NA,NA
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Leptocylindrus danicus,175,NA,NA
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Rhizosolenia setigera,187,NA,NA
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Ceratium bucephalum,224,NA,NA
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Prorocentrum spp. Total,259,NA,NA
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Actiniscus pentasterias,980,NA,NA
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Leptocylindrus mediterraneus,1001,NA,NA
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Grammatophora spp.,1624,NA,NA
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Prorocentrum micans,1679,NA,NA
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,1,Braarudosphaera bigelowii,10509,NA,NA
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Paralia sulcata,101,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Skeletonema costatum,102,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Thalassiosira spp.,103,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Rhizosolenia hebetata semispina,108,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Chaetoceros(Hyalochaete) spp.,112,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Chaetoceros(Phaeoceros) spp.,113,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Odontella sinensis,114,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Thalassiothrix longissima,116,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Thalassionema nitzschioides,117,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Ceratium fusus,121,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Ceratium furca,122,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Ceratium lineatum,123,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Ceratium tripos,124,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Ceratium macroceros,125,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Ceratium horridum,126,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Ceratium longipes,127,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Ceratium arcticum,128,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Dinoflagellate cysts (Total),130,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Bacteriastrum spp.,154,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Bellerochea malleus,155,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Odontella aurita,157,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Coscinodiscus spp. (Unidentified),166,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Ditylum brightwellii,168,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Eucampia zodiacus,169,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Fragilaria spp.,170,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Navicula spp.,176,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Cylindrotheca closterium,177,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Stephanopyxis spp.,190,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Coccolithaceae (Total),195,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Pterosperma spp. (Total),196,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Silicoflagellates,198,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Nitzschia spp. (Unidentified),199,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Ceratium pentagonum,240,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Dinophysis spp. Total,251,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Gonyaulax spp.,253,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Protoperidinium spp.,255,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Pinus pollen,812,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Stellate body (Land plant hair),814,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Coscinodiscus wailesii,976,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Proboscia alata,1000,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Dinophysis acuta,1602,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Hyalochaete resting spore,1612,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Scrippsiella cysts,10505,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Acanthoica quattrospina,10508,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Emiliania huxleyi type,10510,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Emiliania huxleyi type,10510,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Rhabdosphaera clavigera,10511,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Syracosphaera pulchra,10512,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Coccolithus pelagicus,10513,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Coccolithus pelagicus,10513,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Licmophora spp.,10527,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Asterionellopsis glacialis,10615,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Prorocentrum spp. ('Exuviaella' type),10620,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Pseudo-nitzschia delicatissima complex,10623,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Pseudo-nitzschia seriata complex,10624,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Corethron hystrix,10681,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Rhizosolenia imbricata,10684,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Delphineis surirella,10712,0,0
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Coscinodiscus concinnus,165,NA,NA
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Leptocylindrus danicus,175,NA,NA
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Rhizosolenia setigera,187,NA,NA
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Ceratium bucephalum,224,NA,NA
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Prorocentrum spp. Total,259,NA,NA
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Actiniscus pentasterias,980,NA,NA
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Leptocylindrus mediterraneus,1001,NA,NA
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Grammatophora spp.,1624,NA,NA
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Prorocentrum micans,1679,NA,NA
445MC,5,2014-02-25T10:52:00Z,43.31,-66.687,1,Braarudosphaera bigelowii,10509,NA,NA
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Paralia sulcata,101,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Skeletonema costatum,102,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Thalassiosira spp.,103,15000,5021.6079791342145
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Rhizosolenia hebetata semispina,108,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Chaetoceros(Hyalochaete) spp.,112,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Chaetoceros(Phaeoceros) spp.,113,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Odontella sinensis,114,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Thalassiothrix longissima,116,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Thalassionema nitzschioides,117,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Ceratium fusus,121,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Ceratium furca,122,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Ceratium lineatum,123,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Ceratium tripos,124,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Ceratium macroceros,125,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Ceratium horridum,126,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Ceratium longipes,127,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Ceratium arcticum,128,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Dinoflagellate cysts (Total),130,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Bacteriastrum spp.,154,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Bellerochea malleus,155,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Odontella aurita,157,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Coscinodiscus spp. (Unidentified),166,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Ditylum brightwellii,168,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Eucampia zodiacus,169,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Fragilaria spp.,170,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Navicula spp.,176,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Cylindrotheca closterium,177,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Stephanopyxis spp.,190,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Coccolithaceae (Total),195,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Pterosperma spp. (Total),196,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Silicoflagellates,198,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Nitzschia spp. (Unidentified),199,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Ceratium pentagonum,240,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Dinophysis spp. Total,251,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Gonyaulax spp.,253,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Protoperidinium spp.,255,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Pinus pollen,812,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Stellate body (Land plant hair),814,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Coscinodiscus wailesii,976,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Proboscia alata,1000,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Dinophysis acuta,1602,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Hyalochaete resting spore,1612,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Scrippsiella cysts,10505,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Acanthoica quattrospina,10508,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Emiliania huxleyi type,10510,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Emiliania huxleyi type,10510,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Rhabdosphaera clavigera,10511,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Syracosphaera pulchra,10512,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Coccolithus pelagicus,10513,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Coccolithus pelagicus,10513,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Licmophora spp.,10527,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Asterionellopsis glacialis,10615,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Prorocentrum spp. ('Exuviaella' type),10620,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Pseudo-nitzschia delicatissima complex,10623,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Pseudo-nitzschia seriata complex,10624,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Corethron hystrix,10681,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Rhizosolenia imbricata,10684,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Delphineis surirella,10712,0,0
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Coscinodiscus concinnus,165,NA,NA
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Leptocylindrus danicus,175,NA,NA
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Rhizosolenia setigera,187,NA,NA
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Ceratium bucephalum,224,NA,NA
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Prorocentrum spp. Total,259,NA,NA
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Actiniscus pentasterias,980,NA,NA
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Leptocylindrus mediterraneus,1001,NA,NA
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Grammatophora spp.,1624,NA,NA
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Prorocentrum micans,1679,NA,NA
445MC,7,2014-02-25T13:22:00Z,43.345,-67.143,1,Braarudosphaera bigelowii,10509,NA,NA
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,1,Paralia sulcata,101,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,1,Skeletonema costatum,102,0,0
445MC,9,2014-02-25T15:55:00Z,43.38,-67.6,1,Thalassiosira spp.,103,0,0
